p_score,p_acat,p_snp,p_pheWAS_mega_acat,p_pheWAS_mega_acat_p,p_pheWAS_meta_acat,p_pheWAS_meta_acat_p,p_asset_meta,p_pheWAS_hmp,p_oracle,p_oracle_uncorrelated,p_pheWAS_mega,p_pheWAS_meta,p_multiphen,alpha,n_sims,num_sites,total_subjects,max_site,q,q_bin,q_con,intercept_only,flip_y,rm_gender,na_freq,maf,prevalence,num_pca,n_true_con,max_beta_con,direction_con,n_true_bin,max_beta_bin,direction_bin,beta_con,beta_bin,n_k,q_k,empirical_prev,no_case_rate
0.051,0.0505,0.055,0.0605,0.0595,0.061,0.0575,0.007,0.071,0.061,0.0525,0.0545,0.0525,0.0575,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,0,0,Same -- Positive,2,0.01,Same -- Positive,0/0/0/0/0/0/0/0,0.01/0.01/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318082025,0
0.14,0.128,0.1445,0.1515,0.1455,0.154,0.145,0.034,0.1655,0.2675,0.247,0.1355,0.1375,0.0695,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,0,0,Same -- Positive,2,0.07103448275862068,Same -- Positive,0/0/0/0/0/0/0/0,0.0710344827586207/0.0710344827586207/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3180528125,0
0.151,0.149,0.1605,0.157,0.15,0.151,0.1375,0.036,0.166,0.2885,0.2615,0.1315,0.1255,0.073,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,0,0,Same -- Positive,2,0.07103448275862068,Same -- Negative,0/0/0/0/0/0/0/0,-0.0710344827586207/-0.0710344827586207/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31798085,0
0.288,0.249,0.292,0.312,0.2785,0.2935,0.2685,0.0885,0.3015,0.378,0.3545,0.2425,0.2315,0.097,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,0,0,Same -- Positive,5,0.07103448275862068,Same -- Negative,0/0/0/0/0/0/0/0,-0.0710344827586207/-0.0710344827586207/-0.0710344827586207/-0.0710344827586207/-0.0710344827586207/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31798295,0
0.347,0.2575,0.3325,0.421,0.376,0.4025,0.358,0.133,0.3875,0.347,0.347,0.308,0.2885,0.0945,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,0,0,Same -- Positive,8,0.07103448275862068,Same -- Negative,0/0/0/0/0/0/0/0,-0.0710344827586207/-0.0710344827586207/-0.0710344827586207/-0.0710344827586207/-0.0710344827586207/-0.0710344827586207/-0.0710344827586207/-0.0710344827586207,1000/1000/1000/1000/1000,8/7/6/5/8,0.3182034625,0
0.232,0.208,0.2365,0.2175,0.202,0.2075,0.194,0.068,0.221,0.3965,0.384,0.183,0.178,0.076,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,0,0,Same -- Positive,2,0.09137931034482756,Same -- Negative,0/0/0/0/0/0/0/0,-0.0913793103448276/-0.0913793103448276/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3180907125,0
0.4585,0.3635,0.442,0.453,0.418,0.4435,0.4055,0.1895,0.43,0.5515,0.529,0.3545,0.3395,0.0985,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,0,0,Same -- Positive,5,0.09137931034482756,Same -- Negative,0/0/0/0/0/0/0/0,-0.0913793103448276/-0.0913793103448276/-0.0913793103448276/-0.0913793103448276/-0.0913793103448276/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3181400625,0
0.557,0.4185,0.536,0.6565,0.598,0.632,0.579,0.297,0.603,0.557,0.557,0.4855,0.4695,0.1195,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,0,0,Same -- Positive,8,0.09137931034482756,Same -- Negative,0/0/0/0/0/0/0/0,-0.0913793103448276/-0.0913793103448276/-0.0913793103448276/-0.0913793103448276/-0.0913793103448276/-0.0913793103448276/-0.0913793103448276/-0.0913793103448276,1000/1000/1000/1000/1000,8/7/6/5/8,0.31809975,0
0.35,0.329,0.3595,0.341,0.335,0.327,0.3195,0.14,0.3545,0.5545,0.5435,0.308,0.2995,0.087,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,0,0,Same -- Positive,2,0.11172413793103449,Same -- Negative,0/0/0/0/0/0/0/0,-0.111724137931034/-0.111724137931034/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318037275,0
0.658,0.533,0.63,0.658,0.605,0.641,0.587,0.3405,0.624,0.74,0.7305,0.525,0.506,0.138,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,0,0,Same -- Positive,5,0.11172413793103449,Same -- Negative,0/0/0/0/0/0/0/0,-0.111724137931034/-0.111724137931034/-0.111724137931034/-0.111724137931034/-0.111724137931034/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318044275,0
